"_offset","candidate_id","primary_skill_id","staffing_status","english_level","job_function_id","_created_micros","_updated_micros"
"38660","6984216188957000147332068386517227932036","7770000000000115524","Proposed","Unspecified","1012","1706733370600000","1714522331264000"
"38661","32023585197796610236020341341142122937712636","4060741400378686796","UnderConsideration","C1","4060741400005179325","1687928743287000","1714522485061000"
"38662","2125928165557697093499060607109399","4060741400007923367","UnderConsideration","Unspecified","4060741400311610518","1711530489405000","1714522607560000"
"38663","480478781735114533771740562673752362964920557","4060741400007923322","UnderConsideration","A2+","1012","1605702024921000","1714528508624000"
"38664","0380331045745153693131574856947504249530998","4060741400007923339","UnderConsideration","Unspecified","1012","1713434806265000","1714529719045000"
"38665","79317955493382772588683051659479477","4060741400009156249","Onboarding","Unspecified","4000741400001402409","1701691388268000","1714530174096000"
"38666","89484517053752572757418877278345599023","4060741400007923322","Booked","B1","1013","1528973584728000","1714530862968000"
"38667","39462483922877271844835696342551210458293","4060741400335399351","Available","Unspecified","1013","1713085870019000","1714532309601000"
"38668","46207191474696908188820319966911177699168","4060741400007923358","Proposed","B2","4000741400001402395","1624385927356000","1714536421810000"
"38669","1829871843069370287041835594600071152","4060741400321690541","UnderConsideration","B2","4060741400376470170","1332196020000000","1714540808140000"
"38670","486044228441445075939894190293481951205618","4060741400007923344","Available","Unspecified","1012","1618988286667000","1714541773161000"
"38671","30185025459213693522315518187301212909602","7770000000000148669","UnderConsideration","Unspecified","4060741400010084400","1652772135642000","1714542826359000"
"38672","84928087481034169700206931016690985","4060741400007923339","UnderConsideration","Unspecified","1012","1713492456685000","1714542849957000"
"38673","5680758286522865553772091527293799273","4060741400007923322","UnderConsideration","Unspecified","4000741400001402409","1712591619571000","1714546876828000"
"38674","437978303318603963794548402143205387710437574313","4060741400378686796","UnderConsideration","B2+","4060741400005179327","1713510820136000","1714551309303000"
"38675","8398564815052970704675202804407272523773","4060741400007923380","UnderConsideration","Unspecified","","1680869071130000","1714551359341000"
"38676","7560774078145097191895852753690904","7770000000000115524","UnderConsideration","Unspecified","","1707149411822000","1714551838498000"
"38677","053492640249973729566617964390555404229","4060741400049417778","UnderConsideration","Unspecified","4060741400007151467","1707330851135000","1714552767475000"
"38678","51566999840622942140008159108813256388045959","4060741400007923322","UnderConsideration","Unspecified","1011","1673895968967000","1714552783749000"
"38679","500287092238301702181908691393578409947323","7770000000000142982","UnderConsideration","Unspecified","4060741400007382359","1711296310824000","1714552827724000"
"38680","7825913392871978656760108276642832241561","4060741400007923398","Available","Unspecified","1013","1686660683878000","1714552916666000"
"38681","5345836365604427434752587958756467","4060741400328280368","UnderConsideration","C1","1011","1667066890205000","1714552956158000"
"38682","38001910924911480088928993188530181","4060741400007923339","Proposed","Unspecified","1011","1631522666059000","1714553178978000"
"38683","7703748318365549825996573807601025974","4060741400331163529","UnderConsideration","A2","4060741400376470172","1403181900000000","1714553226620000"
"38684","7865891245922229874132561381209990775740","7770000000000115522","Booked","B2","4000741400001402409","1592587072300000","1714553247823000"
"38685","98609931130304609796900696513268440289","7770000000000131092","UnderConsideration","C1","1012","1605553839255000","1714553348654000"
"38686","71255645561062819093450543195009655668935","4060741400007923339","Proposed","C1","1013","1635511406466000","1714553580731000"
"38687","4311046525665241069961925447462403002419351","7770000000000116064","Proposed","Unspecified","1013","1654698641189000","1714554088857000"
"38688","12278401728884006658131714719353607366","7770000000000148669","UnderConsideration","Unspecified","4060741400010084401","1712749607946000","1714554246507000"
"38689","509303891513143217447878958604396353165974214","4060741400007923316","UnderConsideration","C1","4000741400001402409","1714344290280000","1714554280566000"
"38690","37088802373195359829961568516707619361251","7770000000000115524","Booked","Unspecified","1012","1703683787672000","1714554763150000"
"38691","59033143040267080094387325350235852","4060741400007923316","UnderConsideration","Unspecified","1013","1711033272858000","1714554910015000"
"38692","0399168337182688049872213231559571423539399177","4060741400037637413","Available","Unspecified","","1679058916184000","1714555102632000"
"38693","26773822156608535647492222317996646339","4060741400007923398","Available","B2","1013","1693236022611000","1714555123763000"
"38694","7434135444883672169520223732185462423006500","4060741400007923326","UnderConsideration","B1","4000741400001402409","1360579140000000","1714555250706000"
"38695","06403381521247970094987345887251306940","4060741400335399351","UnderConsideration","Unspecified","4060741400010084400","1665501487371000","1714555301921000"
"38696","891692859688263543223524243970529633098693","4060741400009156249","Proposed","Unspecified","4000741400001402409","1709733093574000","1714555419881000"
"38697","41316536430868699518792554134674453158165","4060741400007923322","Booked","Unspecified","1012","1694411099927000","1714555641978000"
"38698","60350042326687313168825937773474077891900","4060741400335399351","Proposed","Unspecified","4060741400010084400","1713534705373000","1714555801154000"
"38699","882943905081883315607506253076396308291111","4060741400009046535","UnderConsideration","Unspecified","1012","1709736008825000","1714555960397000"
"38700","0765784512954295876612051580304237992524","4060741400007923316","Proposed","Unspecified","1013","1701339537157000","1714556035642000"
"38701","271501236322300465458649449745688915756","4060741400009046535","Proposed","Unspecified","1012","1710870250620000","1714556303278000"
"38702","171382428619144191104433591658313","4060741400007923359","UnderConsideration","Unspecified","1013","1712497871126000","1714556543355000"
"38703","15493194196216384275279578273391742962506302","4060741400007923316","UnderConsideration","C1","4000741400001402395","1712706911319000","1714560794202000"
"38704","12387343335666755622700415475564456527","4060741400007923359","UnderConsideration","Unspecified","1013","1689772869413000","1714564419258000"
"38705","120459046379897703414091339195870539475438","4060741400007923359","UnderConsideration","B1","1012","1693843626727000","1714570877089000"
"38706","013307228467724361486293388383974168231","4060741400335399351","Available","Unspecified","","1714572671107000","1714572671222000"
"38707","34054579444805649870449974463322118059","4060741400037637413","UnderConsideration","Unspecified","","1500023601870000","1714578522748000"
"38708","46207191474696908188820319966911177699168","4060741400007923358","Booked","B2","4000741400001402395","1624385927356000","1714580706120000"
"38709","945102130900399703325905650762131967529","4060741400007923344","UnderConsideration","Unspecified","4000741400001402409","1582020064658000","1714581805300000"
"38710","46207191474696908188820319966911177699168","4060741400007923358","Proposed","B2","4000741400001402395","1624385927356000","1714583069730000"
"38711","1773231378560189612733791553508800481385","4060741400007923344","Available","Unspecified","","1692197571272000","1714588130711000"
"38712","114010600402633085400177522449366402038903","4060741400007923344","Available","Unspecified","1013","1677858668878000","1714589026835000"
"38713","114010600402633085400177522449366402038903","4060741400007923344","UnderConsideration","Unspecified","1013","1677858668878000","1714589027372000"
"38714","942755170294872095517200438458602093784803707076","4060741400037637413","UnderConsideration","Unspecified","","1713820031856000","1714598317918000"
"38715","91951033397706784371230057321910902422972","4060741400007923316","UnderConsideration","Unspecified","","1689673574402000","1714606321636000"
"38716","97616082562262645324067556589419773602816","7770000000000116063","Booked","C2","4000741400001402409","1701682664927000","1714608356226000"
"38717","486738179343167691756400383408803253324","4060741400007923322","Available","Unspecified","108","1422277680000000","1714612071459000"
"38718","1393469641038117893332976971675232621044608","120","Available","Unspecified","","1650009882158000","1714615898003000"
"38719","82862210202591512481059933600144524361","7770000000000115522","Available","Unspecified","","1678965479283000","1714616100127000"
"38720","9071176778605552379283724532316771324387352","7770000000000115522","UnderConsideration","Unspecified","1013","1632746481865000","1714616875597000"
"38721","884673398398839293755938890516588026169","4060741400007923359","Available","B2","1013","1565883892642000","1714617462883000"
"38722","4192389530706263116502356019408749","7770000000000115522","Available","Unspecified","1013","1710867443399000","1714617550150000"
"38723","0965561172111934595173993762401751641536","4060741400007923322","Available","Unspecified","","1697110832598000","1714618070382000"
"38724","8329387359964187034390013930179468484272","7770000000000115522","Available","Unspecified","1013","1707739846806000","1714618423779000"
"38725","185303504413484562973649950290946935162983","4060741400007923322","UnderConsideration","B2","1013","1584971835349000","1714620497797000"
"38726","71774033594984130549493012417378850286351985","7770000000000116063","UnderConsideration","Unspecified","","1661420996030000","1714621197531000"
"38727","071544788886280703327185100233273114914","4060741400009156249","Available","Unspecified","","1714628574760000","1714628574867000"
"38728","0113962844079435160228127062424625966","4060741400375569062","UnderConsideration","Unspecified","","1713957914806000","1714633046773000"
"38729","37088802373195359829961568516707619361251","7770000000000115524","UnderConsideration","Unspecified","1012","1703683787672000","1714633745590000"
"38730","77463200240509816610311738705752","120","UnderConsideration","Unspecified","","1685720755229000","1714634354867000"
"38731","46207191474696908188820319966911177699168","4060741400007923358","Booked","B2","4000741400001402395","1624385927356000","1714636415215000"
"38732","6394171615115086292522660421673809970916","4060741400374675663","Proposed","C2","4000741400001402409","1662380858360000","1714637829548000"
"38733","894908335150893158277225865665664369960","4060741400007923322","Booked","Unspecified","1012","1667225739205000","1714638506485000"
"38734","391040518319848199138200094210806508228","4060741400007923398","Available","C2","4060741400309298944","1609864870929000","1714638928047000"
