"_offset","employee_id","job_function_id","primary_skill_id","production_category","employment_status","org_category","org_category_type","work_start_micros","work_end_micros","is_active","_created_micros","_updated_micros"
"13716","624073844572150119113514462936705742886026","4000741400001402409","4060741400007923322","Production","Full-time employee","Global Delivery","Global Delivery","1522627200000000","","true","1519971150000000","1711929600000000"
"13717","500659455133305171665120188218836195148267617","8050000000000000247","4060741400051296607","Production","Full-time employee","Global Delivery","Global Delivery","1398902400000000","","true","1398902400000000","1711929600000000"
"13718","7581160197911778435586117447821687771630","1012","4060741400007923359","Production","Full-time employee","Global Delivery","Global Delivery","1638316800000000","","true","1637224200000000","1711929600000000"
"13719","13736528524390174659695434878375748975","4000741400001402410","4060741400007923331","Production","Full-time employee","Global Delivery","Global Delivery","1536537600000000","","true","1536216900000000","1711929600000000"
"13720","78891745940324154575593524290334511795814","4060741400007382353","4060741400034944001","Production","Full-time employee","Global Delivery","Global Delivery","1580688000000000","","true","1580212223000000","1711929600000000"
"13721","7335504087189857483952675817459342118529830","8050000000000000248","4060741400051296607","Production","Full-time employee","Global Delivery","Global Delivery","1620864000000000","","true","1620285899000000","1711929600000000"
"13722","2776184997740753770624562385704376655726627","4000741400001402385","4060741400007923413","Production","Full-time employee","Global Delivery","Global Delivery","1651622400000000","","true","1650962102000000","1711929600000000"
"13723","50443513614298752992666012304515608729824461","4060741400034237218","4060741400007923347","Production","Full-time employee","Global Delivery","Global Delivery","1180915200000000","","true","1180703050000000","1711930293803000"
"13724","7637075830774399927690261547965192965607","4000741400001402409","7770000000000115523","Production","Full-time employee","Global Delivery","Global Delivery","1400112000000000","","true","1400112000000000","1712069104811000"
"13725","6473141811434174504573140914995332966188216178","1013","4060741400007923359","Production","Full-time employee","Global Delivery","Global Delivery","1699315200000000","","true","1699001102771000","1712102400000000"
"13726","0233423495027638330828220803940198837183284","1013","4060741400007923316","Production","Full-time employee","Global Delivery","Global Delivery","1712534400000000","","false","1712217723265000","1712218429384000"
"13727","434810918474749990368974531944999","4000741400001402409","4060741400007923308","Production","Full-time employee","Digital Marketing","Digital Engagement","1634515200000000","","true","1634137500000000","1712655309413000"
"13728","89370803537692613794841369024180642824833","4060741400326561492","4060741400305564679","Non-production","Full-time employee","Business Systems and Services","General and Administrative","1277078400000000","","true","1276171899000000","1713001826420000"
"13729","6368958884788953208033816513589","4060741400007382352","4060741400007923331","Production","Full-time employee","Testing","Quality Engineering","1280707200000000","","true","1280224003000000","1713001852909000"
"13730","18655471836182997912210609027069393462","1013","4060741400378686793","Production","Full-time employee","Data Analytics","Data","1342396800000000","","true","1334671221000000","1713002114786000"
"13731","5692390609156508479544785771120442513259","4000741400001402409","4060741400007923323","Production","Full-time employee","Global Delivery","Global Delivery","1336348800000000","","true","1336052359000000","1713002120508000"
"13732","95300865488122510406823857102761562907497","4060741400007382353","4060741400389730225","Production","Full-time employee","Cloud Run","Cloud","1356307200000000","","true","1356307200000000","1713002217776000"
"13733","72847330288806066123531144451309843214","4060741400007382360","7770000000000115524","Production","Full-time employee","Global Delivery","Global Delivery","1431302400000000","","true","1430989227000000","1713002654885000"
"13734","6965517618751714547122924201871332840410659","4000741400001402409","4060741400007923323","Production","Full-time employee","Global Delivery","Global Delivery","1443398400000000","","true","1442916029000000","1713002743378000"
"13735","467201338683157547147866091770081653055486224","1013","4060741400007923323","Production","Full-time employee","Global Delivery","Global Delivery","1444608000000000","","true","1444608000000000","1713002756801000"
"13736","1391698835121295857996271387564977880755","1013","4060741400007923323","Production","Full-time employee","Experience Engineering","Digital Engagement","1460937600000000","","true","1460937600000000","1713002954487000"
"13737","43194222785800208931260114226460413914418","4060741400034237214","4060741400034944001","Production","Full-time employee","Testing","Quality Engineering","1464912000000000","","true","1460127631000000","1713002976661000"
"13738","039654752206140816579628503303275172","4060741400034237214","7770000000000116670","Production","Full-time employee","Data Analytics","Data","1467590400000000","","true","1465912098000000","1713003030470000"
"13739","7445085345172402714197354194167373183","4060741400010086938","7770000000000159415","Production","Full-time employee","Intelligent Automation","Intelligent Enterprise","1470009600000000","","true","1469775614000000","1713003103260000"
"13740","9484498399687938599989890941384824957474351","4000741400001402409","4060741400007923323","Production","Full-time employee","Global Delivery","Global Delivery","1515974400000000","","true","1515660511000000","1713003673627000"
"13741","7923864511991092490414626175283560699696","1013","4060741400009156250","Production","Full-time employee","Enterprise Apps","Intelligent Enterprise","1543795200000000","","true","1535969790000000","1713004010339000"
"13742","401572751873827754900458971350938079","4060741400036269809","4060741400015946691","Non-production","Maternity leave","Talent Acquisition","General and Administrative","1540166400000000","","true","1538479202000000","1713004070955000"
"13743","156234131735181788403451205189379611665985","4060741400007382359","4060741400037637413","Production","Full-time employee","Data Analytics","Data","1558915200000000","","true","1558606801000000","1713004507847000"
"13744","506785724658083550081286676362256013899","1013","4060741400007923308","Production","Full-time employee","Global Delivery","Global Delivery","1567382400000000","","true","1566806400000000","1713004723357000"
"13745","37337292951645731035898063918388","4060741400010084401","4060741400007923325","Production","Full-time employee","Cloud SysEng","Cloud","1601510400000000","","true","1592551200000000","1713005172387000"
