"_offset","id","candidate_type","candidate_id","status","interviewer_id","location","logged","media_available","run_type","type","media_status","invite_answer_status","_created_micros","_updated_micros"
"43553","83152666038883019766170278421548653","Applicant","41585793059301616859255696265621180273696","COMPLETED","5014264554497702927903169552013106778","MS_TEAMS","false","true","ONLINE","Technical","DONE","ACCEPTED","1712060940000000","1722470532000500"
"43554","2484847195339508085825173860258011199","Applicant","99957017821670525895081128236933","CANCELLED","92362021174909533566362006426134101358","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1713426780000000","1722470543000600"
"43555","53039453527702107740999392940920","Applicant","7463011939538159435771729489027748417905944","CANCELLED","2190586816727046526901604943644252211846","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1714479000000000","1722470729000600"
"43556","71456979874755885310596350616921525","Applicant","23938579452403549734463531051521515102","COMPLETED","82956439104994006631617172256843435394","INTERVIEW_PLATFORM","false","true","ONLINE","Project","DONE","ACCEPTED","1714054920000000","1722470840000500"
"43557","929738761063257985231836226261891880805600","Applicant","008693774021755152430689832122368591801","COMPLETED","033318318060357154691429691540483733","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1711378380000000","1722470855000500"
"43558","16781202242238781418260623030636637680","Applicant","9104275873685232562587659348608574274685","CANCELLED","26021488904255497995279086812804129085","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1714121040000000","1722470869000600"
"43559","58256183668085944607060227358681747127871","Applicant","9104275873685232562587659348608574274685","CANCELLED","94710384553395580169296281279437","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1713785280000000","1722470869000600"
"43560","20990204542583671555011773527342199327413471687424","Applicant","2249299389847604068269279339937575","CANCELLED","71039716564150705666787240880060554559","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","DECLINED","1713792300000000","1722470991000600"
"43561","526987237337033955592261332783749604227","Applicant","1608098431160083725383412146073114496935","COMPLETED","4768914250975038080111739396174721249815","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1712580780000000","1722471001000500"
"43562","141624081939737847094141956486387848049644306","Applicant","026473165811544609797087872072165000494637","COMPLETED","75323655118842929125343904844222280598","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1712673660000000","1722471059000500"
"43563","8360681025240695044932000344447083551733877","Applicant","0297641055378618213485507187773053","COMPLETED","5692527915423758220066799081473105467642580","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1713452940000000","1722471059000500"
"43564","44380540876664575296777390137879183215","Applicant","772075615842921829519707766508785338324","COMPLETED","5641873079641680493962012668938224817","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","RECORDING_NOT_ACCEPTED","ACCEPTED","1713952080000000","1722471059000500"
"43565","80484745436853439878754090698653345129977919","Applicant","59033143040267080094387325350235852","CANCELLED","11018581088945847995562240077005224129","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","","1714387080000000","1722471143000600"
"43566","5005085063756292744068234534084","Applicant","5491980246959356154216939587044288530","COMPLETED","10365937100675940819211780124286248565017","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","RECORDING_NOT_ACCEPTED","ACCEPTED","1714148940000000","1722471193000500"
"43567","16868221274871568098653653873250607790636115869","Applicant","9732428569179042798721838468620223611","COMPLETED","927658828354527890769816405116223492405527","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1714678260000000","1722471237000500"
"43568","388356821067677137481714843027022441","Applicant","12725713445117703931911731066658491876862","CANCELLED","39549748824415931148401229906236311","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","DECLINED","1714475940000000","1722471249000600"
"43569","9614507305357235605210273118953491609412731","Applicant","5605154557023791484549947619002321114197","COMPLETED","4382090577676150282738412536537169978422","INTERVIEW_PLATFORM","false","true","ONLINE","Project","DONE","ACCEPTED","1714424340000000","1722471261000500"
"43570","59301419565180901551550348520523678","Applicant","9104275873685232562587659348608574274685","COMPLETED","91125847651412335746739706184440124267","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1714478400000000","1722474147000500"
"43571","26252029646684860189827890557773858794530","Applicant","98745616697595280012555820163580","COMPLETED","5692527915423758220066799081473105467642580","MS_TEAMS","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1713452100000000","1722474305000500"
"43572","461280259141457744556109638597340","Applicant","3358925152552133592886357105135660194","COMPLETED","074527203334311719328973024312113125659702","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1714086000000000","1722474341000500"
"43573","718913587044038271908001083631435091625","Applicant","12725713445117703931911731066658491876862","CANCELLED","6364097232593390331716296958418396208","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1714655820000000","1722474377000600"
"43574","91952219165005407404063432316869","Applicant","54640889327603785757092853321394","COMPLETED","43172152091994373545741526008570977279777339","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1714515240000000","1722474378000500"
"43575","579268581925678866016334663017374498603743","Applicant","22507479452820983211367233007119765607650005","COMPLETED","927658828354527890769816405116223492405527","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1714492800000000","1722474390000500"
"43576","53594577293704952057618813003639240794754","Applicant","5605154557023791484549947619002321114197","COMPLETED","11270259437826913499861599813748836","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1711390800000000","1722477636000500"
"43577","0496299256925001592740340261479942227","Applicant","275282752330622290101001460691188","COMPLETED","26021488904255497995279086812804129085","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1713275820000000","1722477647000500"
"43578","561800378594869625607366602545472248","Applicant","766975923767358238441989291449665094663101","CANCELLED","85470879079351821836299311948379680640206","INTERVIEW_PLATFORM","false","false","ONLINE","Project","NO_MEDIA","","1714082400000000","1722477661000600"
"43579","75403720550416370109591361668334424963752","Applicant","840311137787560613564764114100250307624825987","CANCELLED","930833673884194657802760220521163771","INTERVIEW_PLATFORM","false","false","ONLINE","Technical","NO_MEDIA","ACCEPTED","1714405020000000","1722477685000600"
"43580","3622219407674673528847797173785311842616146","Applicant","4086014100666865865923973947669071922","COMPLETED","3485474511141811486100284409024592642414","INTERVIEW_PLATFORM","false","true","ONLINE","Technical","DONE","ACCEPTED","1708364400000000","1722477737000500"
