raw_table_name,raw_column_name,target_column_name,target_data_type,target_order_num
candidates,_offset,offset,integer,1
candidates,candidate_id,candidate_id,bigint,2
candidates,primary_skill_id,primary_skill_id,bigint,3
candidates,staffing_status,staffing_status,string,4
candidates,english_level,english_level,string,5
candidates,job_function_id,job_function_id,bigint,6
candidates,_created_micros,created_at,timestamp,7
candidates,_updated_micros,updated_at,timestamp,8
employees,_offset,offset,integer,1
employees,employee_id,employee_id,bigint,2
employees,job_function_id,job_function_id,bigint,3
employees,primary_skill_id,primary_skill_id,bigint,4
employees,production_category,production_category,string,5
employees,employment_status,employment_status,string,6
employees,org_category,org_category,string,7
employees,org_category_type,org_category_type,string,8
employees,work_start_micros,work_start_at,timestamp,9
employees,work_end_micros,work_end_at,timestamp,10
employees,is_active,is_active,boolean,11
employees,_created_micros,created_at,timestamp,12
employees,_updated_micros,updated_at,timestamp,13
interviews,_offset,offset,integer,1
interviews,id,interview_id,bigint,2
interviews,candidate_type,candidate_type,string,3
interviews,candidate_id,candidate_id,bigint,4
interviews,status,status,string,5
interviews,interviewer_id,interviewer_id,bigint,6
interviews,location,location,string,7
interviews,logged,is_logged,boolean,8
interviews,media_available,is_media_available,boolean,9
interviews,run_type,run_type,string,10
interviews,type,interview_type,string,11
interviews,media_status,media_status,string,12
interviews,invite_answer_status,invite_answer_status,string,13
interviews,_created_micros,created_at,timestamp,14
interviews,_updated_micros,updated_at,timestamp,15
job_functions,_offset,offset,integer,1
job_functions,job_function_id,job_function_id,bigint,2
job_functions,base_name,job_function_name,string,3
job_functions,category,category,string,4
job_functions,is_active,is_active,boolean,5
job_functions,level,level,integer,6
job_functions,track,track,string,7
job_functions,seniority_level,seniority_level,string,8
job_functions,seniority_index,seniority_index,integer,9
job_functions,_created_micros,created_at,timestamp,10
job_functions,_updated_micros,updated_at,timestamp,11
skills,_offset,offset,integer,1
skills,id,skill_id,bigint,2
skills,is_active,is_active,boolean,3
skills,is_primary,is_primary,boolean,4
skills,is_key,is_key,boolean,5
skills,is_key_reason,is_key_reason,string,6
skills,type,skill_type,string,7
skills,name,skill_name,string,8
skills,url,url,string,9
skills,parent_id,parent_skill_id,bigint,10
skills,_created_micros,created_at,timestamp,11
skills,_updated_micros,updated_at,timestamp,12
